 INFO [2013-05-24 09:24:40,006] - End processing for bundle 464ed1f3bb7416e5699c7692bc2900b3-osi-logo-png.
 INFO [2013-05-24 09:24:40,008] - Start processing for bundle Scripts.
 INFO [2013-05-24 09:24:40,008] - Executing processor AssignHashProcessor for bundle Scripts.
 INFO [2013-05-24 09:24:40,011] - Executing processor UrlAssignmentProcessor`1 for bundle Scripts.
 INFO [2013-05-24 09:24:40,011] - Executing processor MergeProcessor`1 for bundle Scripts.
 INFO [2013-05-24 09:24:40,016] - End processing for bundle Scripts.
 INFO [2013-05-24 14:02:23,356] - Running bootstrap task LoadSettingsTask.
 INFO [2013-05-24 14:02:23,372] - Running bootstrap task ConfigureCommonTask.
 INFO [2013-05-24 14:02:23,373] - Running bootstrap task ConfigureImagesTask.
 INFO [2013-05-24 14:02:23,377] - Running bootstrap task ConfigureStyleSheetsTask.
 INFO [2013-05-24 14:02:23,379] - Running bootstrap task ConfigureScriptsTask.
 INFO [2013-05-24 14:02:25,609] - Start processing for bundle StyleSheets.
 INFO [2013-05-24 14:02:25,609] - Executing processor LessProcessor for bundle StyleSheets.
 INFO [2013-05-24 14:02:25,610] - Executing processor AssignHashProcessor for bundle StyleSheets.
 INFO [2013-05-24 14:02:25,648] - Executing processor UrlAssignmentProcessor`1 for bundle StyleSheets.
 INFO [2013-05-24 14:02:25,649] - Executing processor ImageProcessor for bundle StyleSheets.
 INFO [2013-05-24 14:02:25,682] - Start processing for bundle 464ed1f3bb7416e5699c7692bc2900b3-document-icon-png.
 INFO [2013-05-24 14:02:25,682] - Executing processor AssignHashProcessor for bundle 464ed1f3bb7416e5699c7692bc2900b3-document-icon-png.
 INFO [2013-05-24 14:02:25,682] - Executing processor UrlAssignmentProcessor`1 for bundle 464ed1f3bb7416e5699c7692bc2900b3-document-icon-png.
 INFO [2013-05-24 14:02:25,683] - End processing for bundle 464ed1f3bb7416e5699c7692bc2900b3-document-icon-png.
 INFO [2013-05-24 14:02:25,705] - Start processing for bundle a22d74eba48d3245360fa608ebf1fdba-ui-bg_fine-grain_10_eceadf_60x60-png.
